target_id,page_url,status,error_message,lighthouse_performance_score,lighthouse_first_contentful_paint_ms,lighthouse_largest_contentful_paint_ms,lighthouse_speed_index_ms,severity,rule_id,description,help_url,impacted_criteria,selector,html_snippet,failure_summary,suspicious_alt_value,suspicious_alt_html
data-medicaid-gov,https://data.medicaid.gov/dataset/1c853fe0-28c0-43f9-a7ac-26d28c3633c2,COMPLETED,,56,11017,13649,11017,serious,target-size,Ensure touch targets have sufficient size and space,https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright,wcag22aa; wcag258,"#data-table > div:nth-child(1) > .dc-c-datatable-wrapper.ds-u-border-x--1.ds-u-border-bottom--1 > .dc-c-datatable > thead > .dc-c-sticky-header > .ds-u-border-y--2[title=""NDC1""][aria-sort=""none""] > .dc-c-resize-handle.ds-u-focus-visible[aria-label=""Resize NDC1 column""]","<button class=""dc-c-resize-handle ds-u-focus-visible "" aria-label=""Resize NDC1 column""></button>","Fix any of the following:
  Target has insufficient size (10px by 58px, should be at least 24px by 24px)
  Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 22px instead of at least 24px.",,
data-medicaid-gov,https://data.medicaid.gov/dataset/1c853fe0-28c0-43f9-a7ac-26d28c3633c2,COMPLETED,,56,11017,13649,11017,serious,target-size,Ensure touch targets have sufficient size and space,https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright,wcag22aa; wcag258,"#data-table > div:nth-child(1) > .dc-c-datatable-wrapper.ds-u-border-x--1.ds-u-border-bottom--1 > .dc-c-datatable > thead > .dc-c-sticky-header > .ds-u-border-y--2[title=""NDC2""][aria-sort=""none""] > .dc-c-resize-handle.ds-u-focus-visible[aria-label=""Resize NDC2 column""]","<button class=""dc-c-resize-handle ds-u-focus-visible "" aria-label=""Resize NDC2 column""></button>","Fix any of the following:
  Target has insufficient size (10px by 58px, should be at least 24px by 24px)
  Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 22px instead of at least 24px.",,
data-medicaid-gov,https://data.medicaid.gov/dataset/1c853fe0-28c0-43f9-a7ac-26d28c3633c2,COMPLETED,,56,11017,13649,11017,serious,target-size,Ensure touch targets have sufficient size and space,https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright,wcag22aa; wcag258,"#data-table > div:nth-child(1) > .dc-c-datatable-wrapper.ds-u-border-x--1.ds-u-border-bottom--1 > .dc-c-datatable > thead > .dc-c-sticky-header > .ds-u-border-y--2[title=""NDC3""][aria-sort=""none""] > .dc-c-resize-handle.ds-u-focus-visible[aria-label=""Resize NDC3 column""]","<button class=""dc-c-resize-handle ds-u-focus-visible "" aria-label=""Resize NDC3 column""></button>","Fix any of the following:
  Target has insufficient size (10px by 58px, should be at least 24px by 24px)
  Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 22px instead of at least 24px.",,
data-medicaid-gov,https://data.medicaid.gov/dataset/1c853fe0-28c0-43f9-a7ac-26d28c3633c2,COMPLETED,,56,11017,13649,11017,serious,target-size,Ensure touch targets have sufficient size and space,https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright,wcag22aa; wcag258,"#data-table > div:nth-child(1) > .dc-c-datatable-wrapper.ds-u-border-x--1.ds-u-border-bottom--1 > .dc-c-datatable > thead > .dc-c-sticky-header > .ds-u-border-y--2[title=""Labeler Name""][aria-sort=""none""] > .dc-c-resize-handle.ds-u-focus-visible[aria-label=""Resize Labeler Name column""]","<button class=""dc-c-resize-handle ds-u-focus-visible "" aria-label=""Resize Labeler Name column""></button>","Fix any of the following:
  Target has insufficient size (10px by 58px, should be at least 24px by 24px)
  Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 22px instead of at least 24px.",,
data-medicaid-gov,https://data.medicaid.gov/dataset/1c853fe0-28c0-43f9-a7ac-26d28c3633c2,COMPLETED,,56,11017,13649,11017,serious,target-size,Ensure touch targets have sufficient size and space,https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright,wcag22aa; wcag258,"#data-table > div:nth-child(1) > .dc-c-datatable-wrapper.ds-u-border-x--1.ds-u-border-bottom--1 > .dc-c-datatable > thead > .dc-c-sticky-header > .ds-u-border-y--2[title=""Labeler Status""][aria-sort=""none""] > .dc-c-resize-handle.ds-u-focus-visible[aria-label=""Resize Labeler Status column""]","<button class=""dc-c-resize-handle ds-u-focus-visible "" aria-label=""Resize Labeler Status column""></button>","Fix any of the following:
  Target has insufficient size (10px by 58px, should be at least 24px by 24px)
  Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 22px instead of at least 24px.",,
data-medicaid-gov,https://data.medicaid.gov/dataset/1c853fe0-28c0-43f9-a7ac-26d28c3633c2,COMPLETED,,56,11017,13649,11017,serious,target-size,Ensure touch targets have sufficient size and space,https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright,wcag22aa; wcag258,"#data-table > div:nth-child(1) > .dc-c-datatable-wrapper.ds-u-border-x--1.ds-u-border-bottom--1 > .dc-c-datatable > thead > .dc-c-sticky-header > .ds-u-border-y--2[title=""FDA Name""][aria-sort=""none""] > .dc-c-resize-handle.ds-u-focus-visible[aria-label=""Resize FDA Name column""]","<button class=""dc-c-resize-handle ds-u-focus-visible "" aria-label=""Resize FDA Name column""></button>","Fix any of the following:
  Target has insufficient size (10px by 58px, should be at least 24px by 24px)
  Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 22px instead of at least 24px.",,
data-medicaid-gov,https://data.medicaid.gov/dataset/1c853fe0-28c0-43f9-a7ac-26d28c3633c2,COMPLETED,,56,11017,13649,11017,serious,target-size,Ensure touch targets have sufficient size and space,https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright,wcag22aa; wcag258,"#data-table > div:nth-child(1) > .dc-c-datatable-wrapper.ds-u-border-x--1.ds-u-border-bottom--1 > .dc-c-datatable > thead > .dc-c-sticky-header > .ds-u-border-y--2[title=""COD Status""][aria-sort=""none""] > .dc-c-resize-handle.ds-u-focus-visible[aria-label=""Resize COD Status column""]","<button class=""dc-c-resize-handle ds-u-focus-visible "" aria-label=""Resize COD Status column""></button>","Fix any of the following:
  Target has insufficient size (10px by 58px, should be at least 24px by 24px)
  Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 22px instead of at least 24px.",,
data-medicaid-gov,https://data.medicaid.gov/dataset/1c853fe0-28c0-43f9-a7ac-26d28c3633c2,COMPLETED,,56,11017,13649,11017,serious,target-size,Ensure touch targets have sufficient size and space,https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright,wcag22aa; wcag258,"#data-table > div:nth-child(1) > .dc-c-datatable-wrapper.ds-u-border-x--1.ds-u-border-bottom--1 > .dc-c-datatable > thead > .dc-c-sticky-header > .ds-u-border-y--2[title=""FDA Application Number""][aria-sort=""none""] > .dc-c-resize-handle.ds-u-focus-visible","<button class=""dc-c-resize-handle ds-u-focus-visible "" aria-label=""Resize FDA Application Number column""></button>","Fix any of the following:
  Target has insufficient size (10px by 58px, should be at least 24px by 24px)
  Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 22px instead of at least 24px.",,
data-medicaid-gov,https://data.medicaid.gov/dataset/1c853fe0-28c0-43f9-a7ac-26d28c3633c2,COMPLETED,,56,11017,13649,11017,serious,target-size,Ensure touch targets have sufficient size and space,https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright,wcag22aa; wcag258,"#data-table > div:nth-child(1) > .dc-c-datatable-wrapper.ds-u-border-x--1.ds-u-border-bottom--1 > .dc-c-datatable > thead > .dc-c-sticky-header > .ds-u-border-y--2[title=""Drug Category""][aria-sort=""none""] > .dc-c-resize-handle.ds-u-focus-visible[aria-label=""Resize Drug Category column""]","<button class=""dc-c-resize-handle ds-u-focus-visible "" aria-label=""Resize Drug Category column""></button>","Fix any of the following:
  Target has insufficient size (10px by 58px, should be at least 24px by 24px)
  Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 22px instead of at least 24px.",,
data-medicaid-gov,https://data.medicaid.gov/dataset/1c853fe0-28c0-43f9-a7ac-26d28c3633c2,COMPLETED,,56,11017,13649,11017,serious,target-size,Ensure touch targets have sufficient size and space,https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright,wcag22aa; wcag258,"#data-table > div:nth-child(1) > .dc-c-datatable-wrapper.ds-u-border-x--1.ds-u-border-bottom--1 > .dc-c-datatable > thead > .dc-c-sticky-header > .ds-u-border-y--2[title=""Drug Type""][aria-sort=""none""] > .dc-c-resize-handle.ds-u-focus-visible[aria-label=""Resize Drug Type column""]","<button class=""dc-c-resize-handle ds-u-focus-visible "" aria-label=""Resize Drug Type column""></button>","Fix any of the following:
  Target has insufficient size (10px by 58px, should be at least 24px by 24px)
  Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 22px instead of at least 24px.",,
data-medicaid-gov,https://data.medicaid.gov/dataset/1c853fe0-28c0-43f9-a7ac-26d28c3633c2,COMPLETED,,56,11017,13649,11017,serious,target-size,Ensure touch targets have sufficient size and space,https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright,wcag22aa; wcag258,"#data-table > div:nth-child(1) > .dc-c-datatable-wrapper.ds-u-border-x--1.ds-u-border-bottom--1 > .dc-c-datatable > thead > .dc-c-sticky-header > .ds-u-border-y--2[title=""Line Extension""][aria-sort=""none""] > .dc-c-resize-handle.ds-u-focus-visible[aria-label=""Resize Line Extension column""]","<button class=""dc-c-resize-handle ds-u-focus-visible "" aria-label=""Resize Line Extension column""></button>","Fix any of the following:
  Target has insufficient size (10px by 58px, should be at least 24px by 24px)
  Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 22px instead of at least 24px.",,
data-medicaid-gov,https://data.medicaid.gov/dataset/1c853fe0-28c0-43f9-a7ac-26d28c3633c2,COMPLETED,,56,11017,13649,11017,serious,target-size,Ensure touch targets have sufficient size and space,https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright,wcag22aa; wcag258,"#data-table > div:nth-child(1) > .dc-c-datatable-wrapper.ds-u-border-x--1.ds-u-border-bottom--1 > .dc-c-datatable > thead > .dc-c-sticky-header > .ds-u-border-y--2[title=""FDA Approval Date""][aria-sort=""none""] > .dc-c-resize-handle.ds-u-focus-visible","<button class=""dc-c-resize-handle ds-u-focus-visible "" aria-label=""Resize FDA Approval Date column""></button>","Fix any of the following:
  Target has insufficient size (10px by 58px, should be at least 24px by 24px)
  Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 22px instead of at least 24px.",,
data-medicaid-gov,https://data.medicaid.gov/dataset/1c853fe0-28c0-43f9-a7ac-26d28c3633c2,COMPLETED,,56,11017,13649,11017,serious,target-size,Ensure touch targets have sufficient size and space,https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright,wcag22aa; wcag258,"#data-table > div:nth-child(1) > .dc-c-datatable-wrapper.ds-u-border-x--1.ds-u-border-bottom--1 > .dc-c-datatable > thead > .dc-c-sticky-header > .ds-u-border-y--2[title=""Market Date""][aria-sort=""none""] > .dc-c-resize-handle.ds-u-focus-visible[aria-label=""Resize Market Date column""]","<button class=""dc-c-resize-handle ds-u-focus-visible "" aria-label=""Resize Market Date column""></button>","Fix any of the following:
  Target has insufficient size (10px by 58px, should be at least 24px by 24px)
  Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 22px instead of at least 24px.",,
data-medicaid-gov,https://data.medicaid.gov/dataset/1c853fe0-28c0-43f9-a7ac-26d28c3633c2,COMPLETED,,56,11017,13649,11017,serious,target-size,Ensure touch targets have sufficient size and space,https://dequeuniversity.com/rules/axe/4.11/target-size?application=playwright,wcag22aa; wcag258,"#data-table > div:nth-child(1) > .dc-c-datatable-wrapper.ds-u-border-x--1.ds-u-border-bottom--1 > .dc-c-datatable > thead > .dc-c-sticky-header > .ds-u-border-y--2[title=""Unit Type""][aria-sort=""none""] > .dc-c-resize-handle.ds-u-focus-visible[aria-label=""Resize Unit Type column""]","<button class=""dc-c-resize-handle ds-u-focus-visible "" aria-label=""Resize Unit Type column""></button>","Fix any of the following:
  Target has insufficient size (10px by 58px, should be at least 24px by 24px)
  Target has insufficient space to its closest neighbors. Safe clickable space has a diameter of 22px instead of at least 24px.",,
